,security_name,isin,sector,total_weight_pct,num_funds_holding,avg_weight_pct,coverage_pct
138,DOMS Industries Ltd,INE321T01012,Industrials,3.33469,4,0.33,40.0
113,Central Depository Services (India) Ltd,INE736A01011,Financial Services,3.33922,4,0.33,40.0
532,Swiggy Ltd,INE00H001014,Consumer Cyclical,3.22958,1,0.32,10.0
315,Kalpataru Projects International Ltd,INE220B01022,Industrials,3.1603,3,0.32,30.0
514,Styrenix Performance Materials Ltd,INE189B01011,Basic Materials,3.11599,2,0.31,20.0
495,Shoppers Stop Ltd,INE498B01024,Consumer Cyclical,3.09391,2,0.31,20.0
71,Balrampur Chini Mills Ltd,INE119A01028,Consumer Defensive,3.09628,5,0.31,50.0
564,Timken India Ltd,INE325A01013,Industrials,3.0559399999999997,4,0.31,40.0
125,Cohance Lifesciences Ltd,INE03QK01018,Healthcare,3.1074599999999997,4,0.31,40.0
131,CreditAccess Grameen Ltd Ordinary Shares,INE741K01010,Financial Services,3.12772,4,0.31,40.0
156,ELANTAS Beck India Ltd,INE280B01018,Basic Materials,3.1378199999999996,2,0.31,20.0
387,Neuland Laboratories Ltd,INE794A01010,Healthcare,3.07611,3,0.31,30.0
307,K.P.R. Mill Ltd,INE930H01031,Consumer Cyclical,3.06072,3,0.31,30.0
220,Greenply Industries Ltd,INE461C01038,Basic Materials,3.12714,3,0.31,30.0
320,Keystone Realtors Ltd,INE263M01029,Real Estate,3.0839,3,0.31,30.0
130,Craftsman Automation Ltd,INE00LO01017,Consumer Cyclical,3.1204,3,0.31,30.0
281,InterGlobe Aviation Ltd,INE646L01027,Industrials,2.97665,2,0.3,20.0
472,Sagility Ltd,INE0W2G01015,Healthcare,2.9710600000000005,3,0.3,30.0
470,Safari Industries (India) Ltd,INE429E01023,Consumer Cyclical,2.89518,4,0.29,40.0
103,Campus Activewear Ltd,INE278Y01022,Consumer Cyclical,2.89289,2,0.29,20.0
290,JM Financial Ltd,INE780C01023,Financial Services,2.94547,3,0.29,30.0
324,Kirloskar Oil Engines Ltd,INE146L01010,Industrials,2.88701,4,0.29,40.0
205,Glenmark Pharmaceuticals Ltd,INE935A01035,Healthcare,2.87458,2,0.29,20.0
501,Solar Industries India Ltd,INE343H01029,Basic Materials,2.86597,1,0.29,10.0
174,Eureka Forbes Ltd,INE0KCE01017,Consumer Cyclical,2.92636,3,0.29,30.0
121,City Union Bank Ltd,INE491A01021,Financial Services,2.89031,3,0.29,30.0
102,CIE Automotive India Ltd,INE536H01010,Consumer Cyclical,2.92637,4,0.29,40.0
584,VA Tech Wabag Ltd,INE956G01038,Industrials,2.81935,2,0.28,20.0
190,Fortis Healthcare Ltd,INE061F01013,Healthcare,2.83121,2,0.28,20.0
452,Ratnamani Metals & Tubes Ltd,INE703B01027,Basic Materials,2.7771,3,0.28,30.0
620,Zensar Technologies Ltd,INE520A01027,Technology,2.82349,3,0.28,30.0
329,L&T Finance Ltd,INE498L01015,Financial Services,2.6656899999999997,3,0.27,30.0
403,PB Fintech Ltd,INE417T01026,Financial Services,2.65974,2,0.27,20.0
