date,fund_id,stock,action,shares_change
2026-01-31,INF204K01K15,Gujarat Fluorochemicals Ltd Ordinary Shares,decrease,13812.0
2026-01-31,INF204K01K15,Union Bank of India,decrease,4745679.0
2026-01-31,INF204K01K15,VST Tillers Tractors Ltd,decrease,30133.0
2026-01-31,INF204K01K15,TSF Investments Ltd,decrease,4657.0
2026-01-31,INF204K01K15,CreditAccess Grameen Ltd Ordinary Shares,decrease,540811.0
2026-01-31,INF204K01K15,Wonderla Holidays Ltd,exit,528469.0
2026-01-31,INF204K01K15,Inox Wind Ltd,decrease,7279545.0
2026-01-31,INF204K01K15,Vindhya Telelinks Ltd,decrease,875.0
2026-01-31,INF204K01K15,Sheela Foam Ltd,exit,343844.0
2026-01-31,INF204K01K15,Sandhar Technologies Ltd Ordinary Shares,decrease,72569.0
2026-01-31,INF204K01K15,Vishal Mega Mart Ltd,decrease,19569209.0
2026-01-31,INF204K01K15,R K Swamy Ltd,decrease,49011.0
2026-01-31,INF204K01K15,Fineotex Chemical Ltd,decrease,2958972.0
2026-01-31,INF247L01BY3,Karur Vysya Bank Ltd,decrease,61187.0
2026-01-31,INF247L01BY3,Sagility Ltd,decrease,3024.0
2026-01-31,INF247L01BY3,Siemens Energy India Ltd,exit,372393.0
2026-01-31,INF247L01BY3,Rainbow Childrens Medicare Ltd,decrease,242022.0
2026-01-31,INF247L01BY3,GE Vernova T&D India Ltd,decrease,12184.0
2026-01-31,INF247L01BY3,Rubicon Research Limited- Locked In,exit,1639976.0
2026-01-31,INF247L01BY3,Pricol Ltd,decrease,71318.0
2026-01-31,INF247L01BY3,Premier Energies Ltd,decrease,17359.0
2026-01-31,INF247L01BY3,Ola Electric Mobility Ltd,exit,6734787.0
2026-01-31,INF247L01BY3,Multi Commodity Exchange of India Ltd,decrease,10367.0
2026-01-31,INF247L01BY3,Thirumalai Chemicals Limited - Locked In,exit,3068592.0
2026-01-31,INF247L01BY3,Cholafin_25/11/2025,exit,11250.0
2026-01-31,INF247L01BY3,Rubicon Research Limited,exit,706009.0
2026-01-31,INF247L01BY3,Thirumalai Chemicals Ltd,decrease,2184642.0
2026-01-31,INF247L01BY3,Glenmark Pharmaceuticals Ltd,exit,371352.0
2026-01-31,INF247L01BY3,Transformers & Rectifiers (India) Ltd,decrease,530466.0
2026-01-31,INF247L01BY3,Thirumalai Chemicals Limited,exit,597791.0
2026-01-31,INF247L01BY3,Shaily Engineering Plastics Ltd,decrease,33536.0
2026-01-31,INF247L01BY3,eClerx Services Ltd,decrease,37056.0
2026-01-31,INF247L01BY3,Ola Electric Mobility Ltd,decrease,1474793.0
2026-01-31,INF247L01BY3,Multi Commodity Exchange of India Ltd,decrease,20069.0
2026-01-31,INF247L01BY3,Kaynes Technology India Ltd,exit,5599.0
2026-01-31,INF247L01BY3,Rubicon Research Ltd,decrease,794345.0
2026-01-31,INF179KA1RZ8,Gabriel India Ltd,decrease,75000.0
2026-01-31,INF179KA1RZ8,Aditya Vision Ltd,decrease,200000.0
2026-01-31,INF179KA1RZ8,SKF India (Industrial) Limited **,exit,1108471.0
2026-01-31,INF179KA1RZ8,Greenlam Industries Ltd,decrease,779868.0
2026-01-31,INF179KA1RZ8,T.V. Today Network Ltd,decrease,476053.0
2026-01-31,INF179KA1RZ8,Bajaj Consumer Care Ltd,decrease,400000.0
2026-01-31,INF179KA1RZ8,eClerx Services Ltd,decrease,150000.0
2026-01-31,INF179KA1RZ8,L.G.Balakrishnan & Bros Ltd,decrease,20000.0
2026-01-31,INF179KA1RZ8,Fortis Healthcare Ltd,decrease,633000.0
2026-01-31,INF179KA1RZ8,Gabriel India Ltd,decrease,576625.0
2026-01-31,INF179KA1RZ8,Greenlam Industries Ltd,decrease,154286.0
2026-01-31,INF179KA1RZ8,T.V. Today Network Ltd,decrease,2386745.0
2026-01-31,INF179KA1RZ8,Bajaj Consumer Care Ltd,decrease,1776417.0
2026-01-31,INF179KA1RZ8,eClerx Services Ltd,decrease,392517.0
2026-01-31,INF179KA1RZ8,Bajaj Electricals Ltd,decrease,378382.0
2026-01-31,INF179KA1RZ8,Blue Dart Express Ltd,decrease,32388.0
2026-01-31,INF179KA1RZ8,Aster DM Healthcare Ltd Ordinary Shares,decrease,200000.0
2026-01-31,INF179KA1RZ8,Delta Corp Ltd,exit,2000000.0
2026-01-31,INF663L01W06,Ratnamani Metals & Tubes Ltd,exit,33452.0
2026-01-31,INF663L01W06,Innova Captab Ltd,exit,30632.0
2026-01-31,INF663L01W06,Bluestone Jewellery And Lifestyle Ltd,decrease,195057.0
2026-01-31,INF663L01W06,Ather Energy Ltd,decrease,41005.0
