,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Computer Age Management Services Ltd Ordinary Shares,0,2,1684927.5,400.0,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Orchid Pharma Ltd,0,3,1410561.0,1.8527016110301007,False,False,True,"Axis Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Archean Chemical Industries Ltd,0,2,1037703.0,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Sterlite Technologies Ltd,0,1,2328110.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
PCBL Chemical Ltd,0,2,5234666.0,2.599698957322572,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Mastek Ltd,0,1,522483.0,62.23257922486012,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Kirloskar Pneumatic Co Ltd,0,5,2086214.8,6.8523109651871525,False,False,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
IndiaMART InterMESH Ltd,0,2,175899.0,6.035294401660913,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
VRL Logistics Ltd,0,2,7536340.0,0.0,False,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Arvind SmartSpaces Ltd,0,1,1855127.0,9.848957661010967,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Tilaknagar Industries Ltd,0,1,1465470.0,22.032196174830627,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Flair Writing Industries Ltd,0,1,1081779.0,157.57256125145838,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Zee Entertainment Enterprises Ltd,0,1,2443930.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
National Aluminium Co Ltd,1,2,2783551.5,-4.148471615720524,False,False,True,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,2,2
Brigade Hotel Ventures Ltd,0,1,3086606.0,14.93573278182957,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Sai Life Sciences Ltd,0,6,2915777.0,-1.282541577666054,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,6
Filatex India Ltd,0,1,3706973.0,0.8239500919171894,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Neuland Laboratories Ltd,0,3,76300.0,0.0,False,False,True,"Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Sansera Engineering Ltd,0,4,609232.25,0.0,False,False,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Clean Science and Technology Ltd,0,2,1717411.0,1.6952576212571422,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Krishna Institute of Medical Sciences Ltd,0,6,5643108.333333333,6.641042776477744,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,6
Alicon Castalloy Ltd,0,2,667775.0,0.0,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
PG Electroplast Ltd,0,5,1611517.6,2.8734964910756373,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,5,4
One97 Communications Ltd,0,1,0.0,0.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,0
Ujjivan Small Finance Bank Ltd Ordinary Shares,1,2,16206987.5,1.4701860961560513,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",Nippon Small Cap Fund,,1,0,2,2
LG Electronics India Ltd,3,4,200453.0,0.0,False,True,True,"Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund","Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund",SBI Small Cap Fund,3,1,4,3
Kewal Kiran Clothing Ltd,0,1,1513846.0,4.278254256797203,False,False,True,SBI Small Cap Fund,,,0,0,1,1
FDC Ltd,0,2,2360809.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
EPACK Durable Ltd,0,1,2726095.0,-1.7640061591749616,False,False,True,SBI Small Cap Fund,,,0,0,1,1
STL Networks Ltd,0,1,2359469.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Can Fin Homes Ltd,0,3,2294975.0,-0.776113340858099,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
SIS Ltd Ordinary Shares,0,2,2349999.5,4.691495540708188,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
